,value
2006-06-01,0.21506609377014937
2006-07-01,1.142246186967091
2006-08-01,0.08077089285729766
2006-09-01,-0.7395189837372728
2006-10-01,0.5355162794384382
2006-11-01,-0.5647264651320741
2006-12-01,-1.1913935216543692
2007-01-01,-1.9961368164247117
2007-02-01,-1.8824096445368526
2007-03-01,-1.881361293860238
2007-04-01,-0.9766776697907428
2007-05-01,-1.9019923318711625
2007-06-01,-3.108610707028711
2007-07-01,-3.5268821422956975
2007-08-01,-2.7697700367118965
2007-09-01,-2.0338040672828015
2007-10-01,-3.180075966358295
2007-11-01,-3.3080815409072417
2007-12-01,-3.418501908245932
2008-01-01,-4.104801270845488
2008-02-01,-3.1744056756446346
2008-03-01,-1.425289135757783
2008-04-01,0.4401615904944527
2008-05-01,1.2679262510037599
2008-06-01,0.5441554324441394
2008-07-01,-0.48066970719551183
2008-08-01,-1.5799841374850232
2008-09-01,-0.1336163743808476
2008-10-01,1.7643398021524446
2008-11-01,-1.2648773342494266
2008-12-01,-3.1521978842334883
2009-01-01,-3.589928203018723
2009-02-01,-3.406228122833789
2009-03-01,-3.8263343229385622
2009-04-01,-2.7425294344933775
2009-05-01,-1.7887272597313733
2009-06-01,-2.4639028761016517
2009-07-01,-2.075657675328104
2009-08-01,-2.701547013802915
2009-09-01,-1.7025518581431656
2009-10-01,-0.7589319907020389
2009-11-01,-2.905804182464432
2009-12-01,-1.7551468831911923
2010-01-01,-1.9096679238947885
2010-02-01,-0.1291052757849871
2010-03-01,2.211945650117264
2010-04-01,1.569618562080831
2010-05-01,1.5087042686118521
2010-06-01,1.6998884025934553
2010-07-01,-1.7667376106183483
2010-08-01,-1.366051636217643
2010-09-01,0.7285490524822341
2010-10-01,2.2262658158365096
2010-11-01,1.6367586650124024
2010-12-01,0.043641470761556
2011-01-01,-2.3933886026916142
2011-02-01,-3.2353454025596102
2011-03-01,-2.101837771824045
2011-04-01,-0.8990375021239454
2011-05-01,-1.4936664574666798
2011-06-01,-3.1073167508272217
2011-07-01,-1.4205328314401435
2011-08-01,0.2758607214066028
2011-09-01,0.43735990925986584
2011-10-01,-0.2548263800847047
2011-11-01,-0.3458472155762089
2011-12-01,-0.6115030256444327
2012-01-01,-0.38337005302025623
2012-02-01,1.6954758499607498
2012-03-01,1.5613010884084153
2012-04-01,-0.17909432703339856
2012-05-01,-0.5810841195080401
2012-06-01,-2.3308344299399346
2012-07-01,-2.0057500970363367
2012-08-01,-0.5478467175272086
2012-09-01,0.7102722661376356
2012-10-01,1.5215664448259674
2012-11-01,1.323207097388035
2012-12-01,0.8370054084248226
2013-01-01,-0.10582093340683829
2013-02-01,-1.8597930129863454
2013-03-01,-1.9819951932431905
2013-04-01,-0.3690851457447418
2013-05-01,1.0213087568123702
2013-06-01,1.313503316487931
2013-07-01,1.138473914848284
2013-08-01,-0.5684114159918983
2013-09-01,-1.4298085649813963
2013-10-01,-1.8058074666928423
2013-11-01,-1.9511514403250418
2013-12-01,-1.4477675756530977
2014-01-01,-0.039660778396576335
2014-02-01,1.4280190595321094
2014-03-01,1.1451101579872376
2014-04-01,-1.6690214653425715
2014-05-01,-1.5040115349757466
2014-06-01,-2.448986495668514
2014-07-01,-2.8317230406994662
2014-08-01,-2.6938098802334176
2014-09-01,0.23414533840190543
2014-10-01,1.33963923299082
2014-11-01,1.4028876775484114
2014-12-01,1.7780474518983755
2015-01-01,1.6194943314371981
2015-02-01,0.4887985096857944
2015-03-01,2.208630445167098
2015-04-01,2.4556132237466786
2015-05-01,2.6470927240715665
2015-06-01,3.0162463456840567
2015-07-01,1.7039588266126313
2015-08-01,0.6037148295707649
2015-09-01,-1.2737209728501695
2015-10-01,-0.93284071310711
2015-11-01,0.08551545990148485
2015-12-01,1.20534410726747
2016-01-01,2.164110679279701
2016-02-01,0.9522611305039776
2016-03-01,0.3648520796360801
2016-04-01,-2.264868721883362
2016-05-01,-2.3816786375743693
